,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
17,108490,KR7108490004,로보티즈,KOSDAQ,기술성장기업부,272500,2,-7000,-2.5,280500,282500,269500,173176,47658381500,3992868380000,14652728,KSQ
18,095340,KR7095340006,ISC,KOSDAQ GLOBAL,우량기업부,178800,2,-8200,-4.39,187900,189000,177300,311062,56231272850,3790033970400,21197058,KSQ
19,403870,KR7403870009,HPSP,KOSDAQ GLOBAL,우량기업부,45000,2,-900,-1.96,46750,47250,44700,2331751,106811974825,3779960400000,83999120,KSQ
20,347850,KR7347850000,디앤디파마텍,KOSDAQ,기술성장기업부,86500,1,1600,1.88,84500,88500,83500,596301,51486180100,3765814695000,43535430,KSQ
21,214450,KR7214450009,파마리서치,KOSDAQ GLOBAL,우량기업부,355500,1,6500,1.86,351500,363500,349000,128646,45906758250,3693519864000,10389648,KSQ
22,0009K0,KR70009K0001,에임드바이오,KOSDAQ,기술성장기업부,51700,1,700,1.37,51400,52500,50200,190124,9767952950,3343499023700,64671161,KSQ
23,068760,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,75400,1,200,0.27,76200,77200,74200,189906,14383300200,3293616768000,43681920,KSQ
24,263750,KR7263750002,펄어비스,KOSDAQ GLOBAL,우량기업부,51200,2,-1400,-2.66,52900,53500,51000,300419,15629758800,3289490176000,64247855,KSQ
25,145020,KR7145020004,휴젤,KOSDAQ GLOBAL,우량기업부,262000,1,3000,1.16,265500,265500,259500,59052,15482836750,3223656646000,12304033,KSQ
26,357780,KR7357780006,솔브레인,KOSDAQ GLOBAL,우량기업부,410500,2,-7000,-1.68,414000,422500,403500,62110,25708779750,3193101343000,7778566,KSQ
27,237690,KR7237690003,에스티팜,KOSDAQ GLOBAL,우량기업부,151100,1,1100,0.73,150000,153300,146000,183624,27552476450,3139359370000,20776700,KSQ
28,319400,KR7319400008,현대무벡스,KOSDAQ,우량기업부,26900,2,-550,-2.0,27550,28400,26550,1910467,51884644275,2996015449100,111376039,KSQ
29,084370,KR7084370006,유진테크,KOSDAQ,우량기업부,127400,2,-8100,-5.98,134200,134200,123200,328796,42116748300,2919503750800,22916042,KSQ
30,058610,KR7058610007,에스피지,KOSDAQ,우량기업부,129100,2,-3600,-2.71,134100,134500,126800,420983,54262683900,2863097176000,22177360,KSQ
31,032820,KR7032820003,우리기술,KOSDAQ,벤처기업부,16930,1,2080,14.01,15540,17610,15540,46023916,771995936505,2823476269220,166773554,KSQ
32,083650,KR7083650002,비에이치아이,KOSDAQ,중견기업부,90500,1,2200,2.49,92800,94300,89000,552030,50721227400,2800465937500,30944375,KSQ
33,475830,KR7475830006,오름테라퓨틱,KOSDAQ,기술성장기업부,130700,1,21000,19.14,110000,132600,109800,780410,95903420850,2775070497600,21232368,KSQ
34,257720,KR7257720003,실리콘투,KOSDAQ,우량기업부,45000,1,1500,3.45,44300,45300,43900,769101,34548381075,2752735860000,61171908,KSQ
35,226950,KR7226950004,올릭스,KOSDAQ,기술성장기업부,136200,1,6100,4.69,130200,139800,127900,356729,48292179850,2749862064600,20189883,KSQ
36,005290,KR7005290002,동진쎄미켐,KOSDAQ,우량기업부,52500,2,-2200,-4.02,54800,55100,51900,721744,38363543250,2699260935000,51414494,KSQ
37,041510,KR7041510009,에스엠,KOSDAQ GLOBAL,우량기업부,115800,1,1100,0.96,115900,117800,115600,124960,14573724350,2651205102000,22894690,KSQ
