Symbol,Name,Market
ELVA,Electrovaya Inc.,TSX
EMA,Emera Incorporated,TSX
EMN,Euro Manganese Inc.,TSX
ENB,Enbridge Inc.,TSX
EOG,Eco (Atlantic) Oil & Gas Ltd.,TSX
EPRX,Eupraxia Pharmaceuticals Inc.,TSX
EQX,Equinox Gold Corp.,TSX
ERO,Ero Copper Corp.,TSX
EU,enCore Energy Corp.,TSX
FFM,FireFly Metals Ltd.,TSX
FMN,Fidelity Minerals Corp.,TSX
FNV,Franco-Nevada Corporation,TSX
FO,Falcon Oil & Gas Ltd.,TSX
FRX,Fennec Pharmaceuticals Inc.,TSX
FSV,FirstService Corporation,TSX
FTS,Fortis Inc.,TSX
FURY,Fury Gold Mines Limited,TSX
FVI,Fortuna Mining Corp.,TSX
GAL,Galantas Gold Corporation,TSX
GAU,Galiano Gold Inc.,TSX
GFL,GFL Environmental Inc.,TSX
GFR,Greenfire Resources Ltd.,TSX
GIB.A,CGI Inc.,TSX
GIL,Gildan Activewear Inc.,TSX
GLXY,Galaxy Digital Inc.,TSX
GOLD,GoldMining Inc.,TSX
GOOS,Canada Goose Holdings Inc.,TSX
GRT.UN,Granite Real Estate Investment Trust,TSX
GRZ,Gold Reserve Inc.,TSX
GSKR,Goldsky Resources Corp.,TSX
GSP,Gensource Potash Corporation,TSX
GTE,Gran Tierra Energy Inc.,TSX
HBM,HudBay Minerals Inc.,TSX
HCH,Hot Chili Limited,TSX
HITI,High Tide Inc.,TSX
HIVE,Hive Digital Technologies Ltd.,TSX
HUT,Hut 8 Corp.,TSX
IAU,i-80 Gold Corp.,TSX
IE,Ivanhoe Electric Inc.,TSX
IMG,IAMGold Corporation,TSX
IMO,Imperial Oil Limited,TSX
IPCO,International Petroleum Corporation,TSX
ISO,ISO Energy,TSX
ITH,International Tower Hill Mines Ltd.,TSX
ITR,Integra Resources Corp.,TSX
K,Kinross Gold Corporation,TSX
KCC,Kincora Copper Limited,TSX
KEI,Kolibri Global Energy Inc.,TSX
LAC,Lithium Americas Corp.,TSX
LAM,Laramide Resources Ltd.,TSX
LAR,Lithium Argentina AG,TSX
LEM,Leading Edge Materials Corp.,TSX
LGO,Largo Inc.,TSX
LSPD,Lightspeed Commerce Inc.,TSX
LUC,Lucara Diamond Corp.,TSX
LUG,Lundin Gold Inc.,TSX
LUN,Lundin Mining Corporation,TSX
MARI,Marimaca Copper Corp.,TSX
MER,Meren Energy Inc.,TSX
MFC,Manulife Financial Corporation,TSX
MG,Magna International Inc.,TSX
MKA,Mkango Resources Ltd.,TSX
MOGO,Mogo Inc.,TSX
MRZL,Mont Royal Resources Limited,TSX
MSG,Mithril Silver and Gold Limited,TSX
MTA,Metalla Royalty & Streaming Ltd.,TSX
MUX,McEwen Inc.,TSX
MX,Methanex Corporation,TSX
NDM,Northern Dynasty Minerals Ltd.,TSX
NFG,New Found Gold Corp.,TSX
NG,Novagold Resources Inc.,TSX
NGD,New Gold Inc.,TSX
NGEN,Nervgen Pharma Corp.,TSX
NOA,North American Construction Group Ltd.,TSX
NOU,Nouveau Monde Graphite Inc.,TSX
NTR,Nutrien Ltd.,TSX
NUAG,New Pacific Metals Corp.,TSX
NVO,Novo Resources Corp.,TSX
NXE,NexGen Energy Ltd.,TSX
NZP,Chatham Rock Phosphate Limited,TSX
OBE,Obsidian Energy Ltd.,TSX
ODV,Osisko Development Corp.,TSX
OGI,Organigram Global Inc.,TSX
OLA,Orla Mining Ltd.,TSX
OMI,Orosur Mining Inc.,TSX
OR,OR Royalties Inc.,TSX
ORE,Orezone Gold Corporation,TSX
ORIO,Orion Digital Corp.,TSX
OTEX,Open Text Corporation,TSX
OVV,Ovintiv Inc.,TSX
PAAS,Pan American Silver Corp.,TSX
PD,Precision Drilling Corporation,TSX
PDN,Paladin Energy Ltd.,TSX
PHYS.U,Sprott Physical Gold Trust,TSX
PLSR,Pulsar Helium Inc.,TSX
PMET,PMET Resources Inc.,TSX
PML,Panoro Minerals Ltd.,TSX
PPL,Pembina Pipeline Corporation,TSX
PPTA,Perpetua Resources Corp.,TSX
PPX,PPX Mining Corp.,TSX
PRN,Profound Medical Corp.,TSX
PRU,Perseus Mining Limited,TSX
PSLV.U,Sprott Physical Silver Trust,TSX
PTM,Platinum Group Metals Ltd.,TSX
PUMA,Puma Exploration Inc.,TSX
QEC,Questerre Energy Corporation,TSX
QIPT,Quipt Home Medical Corp.,TSX
QSR,Restaurant Brands International Inc.,TSX
"""RBA","RB Global, Inc.",TSX
RBX,Robex Resources Inc.,TSX
RCI.B,Rogers Communications Inc.,TSX
REG,Regulus Resources Inc.,TSX
RIO,Rio2 Limited,TSX
RSM,Resouro Strategic Metals Inc.,TSX
RTG,RTG Mining Inc.,TSX
RY,Royal Bank of Canada,TSX
SBI,Serabi Gold plc,TSX
SCZ,Santacruz Silver Mining Ltd.,TSX
