Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03 00:00:00-05:00,77.17824671413162,77.62626742903501,75.49570231016835,76.00344848632812,1267700,0.0,0.0
2022-01-04 00:00:00-05:00,76.70035255694191,77.49682101761188,76.24238148301099,77.34748840332031,1446900,0.0,0.0
2022-01-05 00:00:00-05:00,77.90500401612849,78.50235716035948,75.67488206631272,75.98351287841797,1535100,0.0,0.0
2022-01-06 00:00:00-05:00,76.82977779701483,77.01894257219305,75.87401107295842,76.44149780273438,1026900,0.0,0.0
2022-01-07 00:00:00-05:00,76.70035706820285,79.09972822663342,76.35190162142983,77.90502166748047,1698400,0.0,0.0
2022-01-10 00:00:00-05:00,77.65611779029672,77.89505756437757,75.53551115434243,76.41162872314453,1206500,0.0,0.0
2022-01-11 00:00:00-05:00,76.67047331821831,76.80985546561287,75.20695317481808,76.1627197265625,897200,0.0,0.0
2022-01-12 00:00:00-05:00,76.909425274752,77.19814765329386,75.57533662468803,76.54105377197266,698500,0.0,0.0
2022-01-13 00:00:00-05:00,76.69039329590764,77.79550019861523,76.4016709199449,76.7700424194336,748200,0.0,0.0
2022-01-14 00:00:00-05:00,75.6350914006127,76.51120923166543,75.00786386173291,76.32205200195312,763100,0.0,0.0
2022-01-18 00:00:00-05:00,75.74459281956621,75.8341923963895,73.88283423383612,74.87842559814453,1469400,0.0,0.0
2022-01-19 00:00:00-05:00,75.1074138741844,75.81428282118898,74.28107123070724,74.48018646240234,879400,0.0,0.0
2022-01-20 00:00:00-05:00,74.6693416771939,75.47576813666495,72.78767487458927,72.91709899902344,982600,0.0,0.0
2022-01-21 00:00:00-05:00,72.72795022086127,73.59410982294061,71.14495604491641,71.29429626464844,1441300,0.0,0.0
2022-01-24 00:00:00-05:00,69.93033934616878,71.92152218993249,67.81969039306549,71.57306671142578,1786700,0.0,0.0
2022-01-25 00:00:00-05:00,70.19915046770593,71.93147734547638,68.77545448769519,70.91597747802734,1339800,0.0,0.0
2022-01-26 00:00:00-05:00,71.69253354503138,73.195870979036,70.17923047519062,71.43367767333984,1727300,0.0,0.0
2022-01-27 00:00:00-05:00,70.01993938786492,71.04539723257234,65.67916062318886,66.35616302490234,3295100,0.0,0.0
