Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03 00:00:00-05:00,4.1808975258278736,4.393321829763212,4.1808975258278736,4.33538818359375,42021,0.0,0.0
2022-01-04 00:00:00-05:00,4.407806394655893,4.407806394655893,4.282282770773142,4.3209052085876465,51156,0.0,0.0
2022-01-05 00:00:00-05:00,4.287109031938934,4.32090400611456,4.1567584574214385,4.171241283416748,76734,0.0,0.0
2022-01-06 00:00:00-05:00,4.161586382736159,4.214692109149844,4.122963483961878,4.127791404724121,52577,0.0,0.0
2022-01-07 00:00:00-05:00,4.127791135339449,4.156758658022452,4.103652000427246,4.103652000427246,73080,0.0,0.0
2022-01-10 00:00:00-05:00,4.103652908904162,4.108480830420147,4.045719252683558,4.098825454711914,87290,0.0,0.0
2022-01-11 00:00:00-05:00,4.0939963920874405,4.234003273084835,4.084340551746818,4.209864139556885,50445,0.0,0.0
2022-01-12 00:00:00-05:00,4.229175352914524,4.262969859459492,4.209864139556885,4.209864139556885,38265,0.0,0.0
2022-01-13 00:00:00-05:00,4.262971517830056,4.311250270990843,4.229176998138428,4.229176998138428,57449,0.0,0.0
2022-01-14 00:00:00-05:00,4.176069174175517,4.31607652278106,4.1664138011388765,4.25331449508667,47705,0.0,0.0
2022-01-18 00:00:00-05:00,4.248488260516012,4.253315714756838,4.132620479585131,4.147103309631348,99267,0.0,0.0
2022-01-19 00:00:00-05:00,4.147103428986623,4.23400461767864,4.065030629321876,4.069858551025391,56129,0.0,0.0
2022-01-20 00:00:00-05:00,4.093997314727701,4.127791828888741,4.03123527301655,4.036063194274902,98556,0.0,0.0
2022-01-21 00:00:00-05:00,4.031235359829064,4.060202420679268,3.8139831044381145,3.8477783203125,140476,0.0,0.0
2022-01-24 00:00:00-05:00,3.8043275922229243,3.900883913040161,3.6691486028816813,3.900883913040161,190921,0.0,0.0
2022-01-25 00:00:00-05:00,3.823639155596958,3.953990461239122,3.746393582618779,3.9105401039123535,97135,0.0,0.0
2022-01-26 00:00:00-05:00,3.9346789653495295,4.007095910897131,3.871916927133537,3.8864002227783203,80083,0.0,0.0
2022-01-27 00:00:00-05:00,3.8960559264276964,3.9781291783639476,3.8043273001789655,3.809154987335205,74197,0.0,0.0
2022-01-28 00:00:00-05:00,3.8091558583836664,3.8719176750613458,3.727082587679531,3.8670899868011475,95207,0.0,0.0
2022-01-31 00:00:00-05:00,3.8767452683969763,4.0119242668151855,3.8767452683969763,4.0119242668151855,47197,0.0,0.0
2022-02-01 00:00:00-05:00,4.016752188328065,4.074686311835146,3.9588185321447193,4.0119242668151855,60291,0.0,0.0
2022-02-02 00:00:00-05:00,4.026407494879041,4.060202006318976,3.9636454582214355,3.9636454582214355,73892,0.0,0.0
2022-02-03 00:00:00-05:00,3.9346797254009127,3.9395071799992234,3.862261831217174,3.8670899868011475,69223,0.0,0.0
2022-02-04 00:00:00-05:00,3.8622606819009957,3.9684730632855274,3.838121546797569,3.934678554534912,69528,0.0,0.0
2022-02-07 00:00:00-05:00,3.925023023558367,3.9781292184449057,3.9201951026916504,3.9201951026916504,37758,0.0,0.0
2022-02-08 00:00:00-05:00,3.9105405105268707,3.9829579360426233,3.9105405105268707,3.949162483215332,24258,0.0,0.0
2022-02-09 00:00:00-05:00,3.9877849141181656,4.176070104499347,3.982957460186213,4.122963905334473,41919,0.0,0.0
2022-02-10 00:00:00-05:00,4.089169720317025,4.224349189737224,4.007096454336055,4.021580219268799,57347,0.0,0.0
2022-02-11 00:00:00-05:00,4.016751308129564,4.137446982884593,3.9298501419117624,3.9539897441864014,61001,0.0,0.0
2022-02-14 00:00:00-05:00,4.01192467409099,4.01192467409099,3.9153683369881693,3.939507246017456,63133,0.0,0.0
2022-02-15 00:00:00-05:00,3.9588182694551146,4.108480555157302,3.9588182694551146,4.031235218048096,55926,0.0,0.0
2022-02-16 00:00:00-05:00,4.060202286805637,4.098825189107003,4.01192400942171,4.074686050415039,57144,0.0,0.0
2022-02-17 00:00:00-05:00,4.031234931229245,4.089169046770113,3.9636454413140125,3.982957124710083,114898,0.0,0.0
2022-02-18 00:00:00-05:00,3.9733017653908353,4.0167525960939825,3.92019602532927,3.939507246017456,37251,0.0,0.0
2022-02-22 00:00:00-05:00,4.0795135498046875,4.166414730459432,3.982957461283378,4.0795135498046875,180670,0.0,0.0
2022-02-23 00:00:00-05:00,4.122963963715286,4.122963963715286,4.007096188557243,4.040891170501709,69934,0.0,0.0
2022-02-24 00:00:00-05:00,3.958818481786447,4.103652854064309,3.9346793418528483,4.093997478485107,154077,0.0,0.0
2022-02-25 00:00:00-05:00,4.108480188998811,4.166414303498402,4.055373995261464,4.127791404724121,68919,0.0,0.0
2022-02-28 00:00:00-05:00,4.103652378259619,4.234003905716722,4.040890808638747,4.137447357177734,57753,0.0,0.0
2022-03-01 00:00:00-05:00,4.137446976233783,4.229175595435429,4.079512865515043,4.103652000427246,41513,0.0,0.0
2022-03-02 00:00:00-05:00,4.180898189544678,4.19538148655535,4.108480769843857,4.180898189544678,36946,0.0,0.0
2022-03-03 00:00:00-05:00,4.1712421365541505,4.267799158615502,4.13262016891228,4.161586761474609,67904,0.0,0.0
2022-03-04 00:00:00-05:00,4.147103206754803,4.20020987532388,4.103652848399056,4.180898189544678,58667,0.0,0.0
2022-03-07 00:00:00-05:00,4.185726750649717,4.200210517197519,4.12779261910611,4.1519317626953125,116522,0.0,0.0
2022-03-08 00:00:00-05:00,4.156759617948176,4.335388977155402,4.147103307500266,4.277454853057861,198737,0.0,0.0
2022-03-09 00:00:00-05:00,4.369182490728242,4.431944521984169,4.3064204594723146,4.402977466583252,147784,0.0,0.0
2022-03-10 00:00:00-05:00,4.427117770056046,4.431945691784454,4.330560737459137,4.422289848327637,109620,0.0,0.0
2022-03-11 00:00:00-05:00,4.427117770056046,4.465740209235804,4.393322785280939,4.422289848327637,73689,0.0,0.0
2022-03-14 00:00:00-04:00,4.494707207167218,4.528501724128982,4.431945627578404,4.5043625831604,180162,0.0,0.0
2022-03-15 00:00:00-04:00,4.4416006992757815,4.5285014138795745,4.3933224206461805,4.431945323944092,173971,0.0,0.0
2022-03-16 00:00:00-04:00,4.456676810463839,4.6050678539366645,4.402266665430836,4.520979404449463,118653,0.216749,0.0
2022-03-17 00:00:00-04:00,4.506141896172808,4.550659127330915,4.456678199597509,4.501195430755615,72674,0.0,0.0
2022-03-18 00:00:00-04:00,4.496247603661504,4.550657749176025,4.471515762863828,4.550657749176025,85970,0.0,0.0
2022-03-21 00:00:00-04:00,4.5259264419615555,4.5259264419615555,4.407213687896729,4.4072136878967285,75415,0.0,0.0
2022-03-22 00:00:00-04:00,4.461623073591278,4.575389343615669,4.451730146285616,4.545711040496826,123221,0.0,0.0
2022-03-23 00:00:00-04:00,4.545711684897039,4.5704435278690365,4.402267091419097,4.491302013397217,60595,0.0,0.0
2022-03-24 00:00:00-04:00,4.575390081086538,4.575390081086538,4.4962480862794045,4.560551166534424,119262,0.0,0.0
2022-03-25 00:00:00-04:00,4.570443111314906,4.654531561275088,4.535818821588726,4.540765285491943,69020,0.0,0.0
2022-03-28 00:00:00-04:00,4.54076551780619,4.565497359789434,4.530872589493614,4.535819053649902,41513,0.0,0.0
2022-03-29 00:00:00-04:00,4.5457117731840855,4.5704436166364255,4.516033944079855,4.560551166534424,49430,0.0,0.0
2022-03-30 00:00:00-04:00,4.560550662306642,4.560550662306642,4.506140516967592,4.540765285491943,55419,0.0,0.0
2022-03-31 00:00:00-04:00,4.53087214148031,4.585282284223004,4.511086765609734,4.555603981018066,53389,0.0,0.0
2022-04-01 00:00:00-04:00,4.619906751677856,4.619906751677856,4.501194013046899,4.511086940765381,50953,0.0,0.0
2022-04-04 00:00:00-04:00,4.555604198403424,4.570443111314906,4.520979429879073,4.540765285491943,25273,0.0,0.0
2022-04-05 00:00:00-04:00,4.535819929349906,4.535819929349906,4.456677923964476,4.466570854187012,49430,0.0,0.0
2022-04-06 00:00:00-04:00,4.387426806507805,4.407212178944741,4.3033388539513115,4.357748508453369,81403,0.0,0.0
2022-04-07 00:00:00-04:00,4.31323330985308,4.3478580868443135,4.253876686096191,4.253876686096191,50141,0.0,0.0
2022-04-08 00:00:00-04:00,4.2538758194571615,4.323124880533279,4.140109539031982,4.140109539031982,81504,0.0,0.0
2022-04-11 00:00:00-04:00,4.090646071739036,4.14505622217338,4.080753621804384,4.125270843505859,46487,0.0,0.0
2022-04-12 00:00:00-04:00,4.135163490763014,4.209359023405355,4.085699802334786,4.090646266937256,40295,0.0,0.0
2022-04-13 00:00:00-04:00,4.080753646946015,4.150002712108091,4.080753646946015,4.145056247711182,65569,0.0,0.0
2022-04-14 00:00:00-04:00,4.070860334022119,4.110431571319408,4.031290054321289,4.031290054321289,158137,0.0,0.0
2022-04-18 00:00:00-04:00,3.986771837306554,4.08075296945113,3.986771837306554,3.99666428565979,156411,0.0,0.0
2022-04-19 00:00:00-04:00,3.9818258880001207,4.065914348308409,3.9818258880001207,4.031290054321289,67092,0.0,0.0
2022-04-20 00:00:00-04:00,4.0411822402118505,4.065914082355602,4.006557948489518,4.011504173278809,49735,0.0,0.0
2022-04-21 00:00:00-04:00,4.026342894823069,4.051075216054806,3.981825674202351,4.046128273010254,44761,0.0,0.0
2022-04-22 00:00:00-04:00,4.016450360328858,4.051075130524049,3.976879365390852,3.981825590133667,37454,0.0,0.0
2022-04-25 00:00:00-04:00,3.957094137898286,3.976879757015232,3.858166999910037,3.912576913833618,124134,0.0,0.0
2022-04-26 00:00:00-04:00,3.90268341739938,3.90762964160703,3.848273754119873,3.848273754119873,46081,0.0,0.0
2022-04-27 00:00:00-04:00,3.8433271243805995,3.9570936419987777,3.8433271243805995,3.902683734893799,43543,0.0,0.0
2022-04-28 00:00:00-04:00,3.9224700927734375,3.9620410941270707,3.8927920213075646,3.9224700927734375,24461,0.0,0.0
2022-04-29 00:00:00-04:00,3.8631126807554153,3.937308442739498,3.853220231689653,3.858166456222534,37657,0.0,0.0
2022-05-02 00:00:00-04:00,3.8680589252292594,3.9422549269949307,3.843327084240094,3.8730056285858154,51359,0.0,0.0
2022-05-03 00:00:00-04:00,3.84332666250313,3.932361328173966,3.8334342144718905,3.9076294898986816,49836,0.0,0.0
2022-05-04 00:00:00-04:00,3.882898530409198,4.036235809326172,3.8334348457135734,4.036235809326172,51968,0.0,0.0
2022-05-05 00:00:00-04:00,4.016450320029875,4.016450320029875,3.9323618668556506,3.9521474838256836,43645,0.0,0.0
2022-05-06 00:00:00-04:00,3.95709449048725,3.9768801113671546,3.798810720443726,3.7988107204437256,78358,0.0,0.0
2022-05-09 00:00:00-04:00,3.7493467755224907,3.7740786204119314,3.586116790771485,3.5861167907714844,90132,0.0,0.0
2022-05-10 00:00:00-04:00,3.655365432516039,3.7542930398846357,3.417939940908521,3.447618007659912,120480,0.0,0.0
2022-05-11 00:00:00-04:00,3.412993088622108,3.591061935188155,3.3387973368878323,3.3437440395355225,83230,0.0,0.0
2022-05-12 00:00:00-04:00,3.333851984883293,3.363530053939145,3.264602678288072,3.279442071914673,88102,0.0,0.0
2022-05-13 00:00:00-04:00,3.3734229712064505,3.516867569638374,3.3734229712064505,3.4624576568603516,34206,0.0,0.0
2022-05-16 00:00:00-04:00,3.4624575518481855,3.59106275280505,3.4624575518481855,3.566330909729004,32277,0.0,0.0
2022-05-17 00:00:00-04:00,3.7097757459973932,3.7790248064339402,3.6405266855608462,3.7542929649353027,32886,0.0,0.0
