Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03 00:00:00-05:00,4608.0,5184.0,4608.0,4968.0,76,0.0,0.0
2022-01-04 00:00:00-05:00,5112.0,5184.0,4788.0,4968.0,92,0.0,0.0
2022-01-05 00:00:00-05:00,4968.0,5040.0,4608.0,4644.0,59,0.0,0.0
2022-01-06 00:00:00-05:00,4680.0,4788.0,4500.0,4500.0,53,0.0,0.0
2022-01-07 00:00:00-05:00,4464.0,4680.0,4464.0,4572.0,32,0.0,0.0
2022-01-10 00:00:00-05:00,4500.0,4500.0,4140.0,4176.0,118,0.0,0.0
2022-01-11 00:00:00-05:00,4140.0,4572.0,4104.0,4392.0,87,0.0,0.0
2022-01-12 00:00:00-05:00,4428.0,4572.0,4392.0,4500.0,46,0.0,0.0
2022-01-13 00:00:00-05:00,4500.0,4500.0,4104.0,4140.0,51,0.0,0.0
2022-01-14 00:00:00-05:00,4104.0,4284.0,3996.0,4248.0,56,0.0,0.0
2022-01-18 00:00:00-05:00,4140.0,4500.0,4140.0,4248.0,80,0.0,0.0
2022-01-19 00:00:00-05:00,4212.0,4212.0,3852.0,3888.0,110,0.0,0.0
2022-01-20 00:00:00-05:00,3924.0,4284.0,3852.0,3852.0,104,0.0,0.0
2022-01-21 00:00:00-05:00,3888.0,4032.0,3636.0,3816.0,114,0.0,0.0
2022-01-24 00:00:00-05:00,3780.0,3780.0,3276.0,3708.0,149,0.0,0.0
2022-01-25 00:00:00-05:00,3744.0,3960.0,3600.0,3924.0,62,0.0,0.0
2022-01-26 00:00:00-05:00,3888.0,4032.0,3600.0,3636.0,169,0.0,0.0
2022-01-27 00:00:00-05:00,3456.0,3888.0,3456.0,3600.0,187,0.0,0.0
2022-01-28 00:00:00-05:00,3600.0,4392.0,3600.0,4212.0,1730,0.0,0.0
2022-01-31 00:00:00-05:00,4212.0,4320.0,3708.0,3888.0,796,0.0,0.0
2022-02-01 00:00:00-05:00,3852.0,4176.0,3816.0,3996.0,227,0.0,0.0
2022-02-02 00:00:00-05:00,4032.0,4068.0,3708.0,3744.0,151,0.0,0.0
2022-02-03 00:00:00-05:00,3708.0,3780.0,3492.0,3492.0,111,0.0,0.0
2022-02-04 00:00:00-05:00,3600.0,3852.0,3528.0,3708.0,156,0.0,0.0
2022-02-07 00:00:00-05:00,3744.0,3924.0,3672.0,3852.0,77,0.0,0.0
2022-02-08 00:00:00-05:00,3852.0,3852.0,3708.0,3852.0,50,0.0,0.0
2022-02-09 00:00:00-05:00,3780.0,3960.0,3744.0,3960.0,134,0.0,0.0
2022-02-10 00:00:00-05:00,3852.0,3996.0,3780.0,3780.0,66,0.0,0.0
2022-02-11 00:00:00-05:00,3852.0,4104.0,3816.0,4032.0,169,0.0,0.0
2022-02-14 00:00:00-05:00,3960.0,3996.0,3744.0,3780.0,119,0.0,0.0
2022-02-15 00:00:00-05:00,3780.0,3924.0,3672.0,3852.0,91,0.0,0.0
2022-02-16 00:00:00-05:00,3816.0,3924.0,3780.0,3852.0,96,0.0,0.0
2022-02-17 00:00:00-05:00,3816.0,3852.0,3528.0,3672.0,160,0.0,0.0
2022-02-18 00:00:00-05:00,3600.0,3744.0,3456.0,3492.0,150,0.0,0.0
2022-02-22 00:00:00-05:00,3600.0,3600.0,3204.0,3204.0,308,0.0,0.0
2022-02-23 00:00:00-05:00,3168.0,3384.0,3132.0,3348.0,366,0.0,0.0
2022-02-24 00:00:00-05:00,3528.0,3708.0,3384.0,3528.0,712,0.0,0.0
2022-02-25 00:00:00-05:00,3384.0,3456.0,3168.0,3240.0,266,0.0,0.0
2022-02-28 00:00:00-05:00,3276.0,3816.0,3276.0,3744.0,645,0.0,0.0
2022-03-01 00:00:00-05:00,3852.0,3888.0,3456.0,3564.0,307,0.0,0.0
2022-03-02 00:00:00-05:00,3636.0,3636.0,3420.0,3420.0,127,0.0,0.0
2022-03-03 00:00:00-05:00,3420.0,3564.0,3384.0,3456.0,71,0.0,0.0
2022-03-04 00:00:00-05:00,3420.0,4068.0,3312.0,3996.0,780,0.0,0.0
2022-03-07 00:00:00-05:00,4284.0,5148.0,4068.0,5040.0,3249,0.0,0.0
2022-03-08 00:00:00-05:00,5688.0,5760.0,4032.0,4320.0,2492,0.0,0.0
2022-03-09 00:00:00-05:00,4068.0,4356.0,3780.0,4212.0,750,0.0,0.0
2022-03-10 00:00:00-05:00,4500.0,4500.0,3960.0,4032.0,397,0.0,0.0
